-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: latitude  9.0673   longitude 7.4946 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 406.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2025,1,1,5.9369
2025,1,2,5.945
2025,1,3,5.5214
2025,1,4,5.6784
2025,1,5,5.9743
2025,1,6,5.7991
2025,1,7,5.8447
2025,1,8,5.933
2025,1,9,6.0007
2025,1,10,5.989
2025,1,11,5.941
2025,1,12,5.8747
2025,1,13,5.6671
2025,1,14,5.6371
2025,1,15,5.5858
2025,1,16,5.6434
2025,1,17,5.8927
2025,1,18,5.3208
2025,1,19,5.004
2025,1,20,4.909
2025,1,21,5.3669
2025,1,22,6.0816
2025,1,23,6.1099
2025,1,24,5.6083
2025,1,25,6.1577
2025,1,26,6.1699
2025,1,27,6.1361
2025,1,28,6.3108
2025,1,29,6.2544
2025,1,30,6.0502
2025,1,31,6.1562
2025,2,1,5.297
2025,2,2,6.1963
2025,2,3,5.8675
2025,2,4,6.2592
2025,2,5,5.7391
2025,2,6,5.7442
2025,2,7,5.149
2025,2,8,5.4739
2025,2,9,5.7749
2025,2,10,5.5968
2025,2,11,6.4589
2025,2,12,6.216
2025,2,13,6.2832
2025,2,14,6.3684
2025,2,15,6.223
2025,2,16,6.5249
2025,2,17,6.4454
2025,2,18,5.665
2025,2,19,5.5702
2025,2,20,6.2798
2025,2,21,6.1291
2025,2,22,5.0386
2025,2,23,5.4614
2025,2,24,5.4041
2025,2,25,5.4526
2025,2,26,4.481
2025,2,27,4.7513
2025,2,28,6.0766
2025,3,1,6.1013
2025,3,2,6.5326
2025,3,3,6.7322
2025,3,4,6.6089
2025,3,5,6.1709
2025,3,6,6.3336
2025,3,7,6.3984
2025,3,8,6.5035
2025,3,9,6.1058
2025,3,10,5.5066
2025,3,11,6.0336
2025,3,12,5.9736
2025,3,13,5.833
2025,3,14,5.5836
2025,3,15,5.8999
2025,3,16,6.1202
2025,3,17,6.6283
2025,3,18,6.582
2025,3,19,5.8709
2025,3,20,6.4296
2025,3,21,5.8438
2025,3,22,5.4295
2025,3,23,6.2186
2025,3,24,6.415
2025,3,25,7.0183
2025,3,26,6.1126
2025,3,27,5.0659
2025,3,28,5.5982
2025,3,29,6.702
2025,3,30,6.1262
2025,3,31,6.329
2025,4,1,5.3138
2025,4,2,3.3444
2025,4,3,6.1558
2025,4,4,6.967
2025,4,5,6.9036
2025,4,6,6.0494
2025,4,7,6.2762
2025,4,8,6.2158
2025,4,9,5.634
2025,4,10,4.9018
2025,4,11,5.1694
2025,4,12,5.4998
2025,4,13,6.8234
2025,4,14,7.2559
2025,4,15,6.0631
2025,4,16,5.873
2025,4,17,5.5486
2025,4,18,6.6742
2025,4,19,5.671
2025,4,20,6.6576
2025,4,21,7.0006
2025,4,22,5.2802
2025,4,23,6.8467
2025,4,24,5.9374
2025,4,25,6.1049
2025,4,26,4.3318
2025,4,27,6.0125
2025,4,28,4.8576
2025,4,29,5.7581
2025,4,30,6.9737
2025,5,1,5.0954
2025,5,2,4.3918
2025,5,3,4.7719
2025,5,4,5.0822
2025,5,5,6.383
2025,5,6,6.0377
2025,5,7,6.1394
2025,5,8,6.1591
2025,5,9,6.0893
2025,5,10,5.7823
2025,5,11,6.156
2025,5,12,6.803
2025,5,13,5.4194
2025,5,14,5.6165
2025,5,15,3.7651
2025,5,16,6.2926
2025,5,17,4.2288
2025,5,18,3.1366
2025,5,19,5.2642
2025,5,20,4.429
2025,5,21,6.9638
2025,5,22,6.3672
2025,5,23,5.7722
2025,5,24,4.2365
2025,5,25,6.0338
2025,5,26,5.0878
2025,5,27,4.0111
2025,5,28,5.5944
2025,5,29,4.7371
2025,5,30,6.553
2025,5,31,5.9105
2025,6,1,5.3599
2025,6,2,6.559
2025,6,3,2.0904
2025,6,4,5.9818
2025,6,5,6.5652
2025,6,6,5.8488
2025,6,7,6.5304
2025,6,8,6.091
2025,6,9,6.0348
2025,6,10,6.3055
2025,6,11,4.873
2025,6,12,6.0386
2025,6,13,4.279
2025,6,14,4.1522
2025,6,15,5.3191
2025,6,16,5.6304
2025,6,17,5.2831
2025,6,18,3.6379
2025,6,19,5.3611
2025,6,20,4.6243
2025,6,21,5.5166
2025,6,22,5.1077
2025,6,23,4.8859
2025,6,24,4.6178
2025,6,25,5.3741
2025,6,26,3.2378
2025,6,27,4.5763
2025,6,28,4.2982
2025,6,29,4.2547
2025,6,30,2.9777
2025,7,1,2.4732
2025,7,2,4.9025
2025,7,3,4.5593
2025,7,4,3.8933
2025,7,5,3.5558
2025,7,6,4.0891
2025,7,7,3.9816
2025,7,8,4.519
2025,7,9,4.0056
2025,7,10,4.0524
2025,7,11,4.6145
2025,7,12,4.0075
2025,7,13,3.653
2025,7,14,5.4216
2025,7,15,4.2113
2025,7,16,3.283
2025,7,17,3.8558
2025,7,18,4.1875
2025,7,19,4.5946
2025,7,20,3.7951
2025,7,21,3.7956
2025,7,22,2.9772
2025,7,23,3.0499
2025,7,24,4.0985
2025,7,25,3.9895
2025,7,26,3.48
2025,7,27,2.6054
2025,7,28,3.4973
2025,7,29,4.1597
2025,7,30,3.6564
2025,7,31,1.919
2025,8,1,2.869
2025,8,2,4.6908
2025,8,3,2.8286
2025,8,4,4.711
2025,8,5,2.9546
2025,8,6,2.7259
2025,8,7,4.4794
2025,8,8,3.0862
2025,8,9,3.9214
2025,8,10,5.3153
2025,8,11,2.8409
2025,8,12,2.4718
2025,8,13,3.7284
2025,8,14,1.9421
2025,8,15,2.2006
2025,8,16,4.242
2025,8,17,2.9911
2025,8,18,3.3103
2025,8,19,5.7482
2025,8,20,2.1002
2025,8,21,3.9247
2025,8,22,4.2139
2025,8,23,2.8426
2025,8,24,3.1776
2025,8,25,4.1923
2025,8,26,2.0954
2025,8,27,3.1397
2025,8,28,4.7057
2025,8,29,3.0259
2025,8,30,3.6614
2025,8,31,4.8506
2025,9,1,6.1589
2025,9,2,1.4522
2025,9,3,3.6986
2025,9,4,3.4034
2025,9,5,4.6157
2025,9,6,5.9162
2025,9,7,5.8824
2025,9,8,4.8187
2025,9,9,3.5918
2025,9,10,5.0777
2025,9,11,1.5377
2025,9,12,5.3052
2025,9,13,4.7998
2025,9,14,6.1118
2025,9,15,4.4887
2025,9,16,4.5432
2025,9,17,5.6462
2025,9,18,5.5423
2025,9,19,5.4199
2025,9,20,4.5914
2025,9,21,5.2524
2025,9,22,5.0561
2025,9,23,3.6499
2025,9,24,3.9982
2025,9,25,4.6265
2025,9,26,5.4924
2025,9,27,5.4797
2025,9,28,5.251
2025,9,29,5.3386
2025,9,30,6.2503
2025,10,1,5.4888
2025,10,2,3.7373
2025,10,3,6.161
2025,10,4,5.9172
2025,10,5,4.7782
2025,10,6,4.4544
2025,10,7,5.6645
2025,10,8,5.9177
2025,10,9,5.0758
2025,10,10,3.3694
2025,10,11,5.7744
2025,10,12,4.3582
2025,10,13,5.5207
2025,10,14,5.299
2025,10,15,5.4838
2025,10,16,5.4005
2025,10,17,5.3945
2025,10,18,6.5834
2025,10,19,6.8028
2025,10,20,5.6189
2025,10,21,6.5006
2025,10,22,6.0778
2025,10,23,5.1034
2025,10,24,5.803
2025,10,25,5.8735
2025,10,26,6.4913
2025,10,27,6.5174
2025,10,28,4.529
2025,10,29,6.053
2025,10,30,5.6861
2025,10,31,6.245
2025,11,1,6.3766
2025,11,2,6.4152
2025,11,3,6.1418
2025,11,4,5.8675
2025,11,5,6.0888
2025,11,6,5.6273
2025,11,7,5.7355
2025,11,8,5.9885
2025,11,9,6.1114
2025,11,10,6.103
2025,11,11,6.2126
2025,11,12,6.2498
2025,11,13,5.9093
2025,11,14,6.0415
2025,11,15,6.1104
2025,11,16,6.2477
2025,11,17,6.3718
2025,11,18,6.1783
2025,11,19,6.2551
2025,11,20,6.2566
2025,11,21,6.0756
2025,11,22,6.0086
2025,11,23,5.3568
2025,11,24,5.3926
2025,11,25,6.2731
2025,11,26,5.6722
2025,11,27,5.5846
2025,11,28,5.8932
2025,11,29,5.9659
2025,11,30,6.0206
2025,12,1,6.0461
2025,12,2,5.2572
2025,12,3,5.669
2025,12,4,4.7134
2025,12,5,5.3047
2025,12,6,5.4698
2025,12,7,5.4012
2025,12,8,5.4041
2025,12,9,4.9877
2025,12,10,4.6723
2025,12,11,4.6656
2025,12,12,5.221
2025,12,13,5.5354
2025,12,14,4.873
2025,12,15,5.1194
2025,12,16,5.5747
2025,12,17,5.5171
2025,12,18,5.6273
2025,12,19,5.5766
2025,12,20,5.8253
2025,12,21,5.3198
2025,12,22,5.261
2025,12,23,5.1281
2025,12,24,4.8886
2025,12,25,4.8883
2025,12,26,5.197
2025,12,27,5.1516
2025,12,28,5.2214
2025,12,29,5.6486
2025,12,30,5.5848
2025,12,31,5.603
