YEAR,MO,DY,ALLSKY_SFC_SW_DWN,Solar_Output,Load_kWh,Energy_Gap,Diesel_Liters,Diesel_Cost_2025,Diesel_Cost_2026,Date,Battery_SOC,Battery_Discharge,Diesel_Liters_Battery,Diesel_Needed_Battery,Excess_Solar,Month,Month_No,CO2_Emissions,CO2_Emissions_Battery,CO2_Reduction,Solar_Contribution,Diesel_Reduction,Diesel_Saved
2025,1,1,5.9369,47.4952,35,0.0,0.0,0.0,0.0,2025-01-01,10.0,0.0,0.0,0.0,12.495199999999997,January,1,0.0,0.0,0.0,135.7005714285714,0.0,0.0
2025,1,2,5.945,47.56,35,0.0,0.0,0.0,0.0,2025-01-02,10.0,0.0,0.0,0.0,12.560000000000002,January,1,0.0,0.0,0.0,135.8857142857143,0.0,0.0
2025,1,3,5.5214,44.1712,35,0.0,0.0,0.0,0.0,2025-01-03,10.0,0.0,0.0,0.0,9.171199999999999,January,1,0.0,0.0,0.0,126.20342857142856,0.0,0.0
2025,1,4,5.6784,45.4272,35,0.0,0.0,0.0,0.0,2025-01-04,10.0,0.0,0.0,0.0,10.4272,January,1,0.0,0.0,0.0,129.792,0.0,0.0
2025,1,5,5.9743,47.7944,35,0.0,0.0,0.0,0.0,2025-01-05,10.0,0.0,0.0,0.0,12.794400000000003,January,1,0.0,0.0,0.0,136.55542857142856,0.0,0.0
2025,1,6,5.7991,46.3928,35,0.0,0.0,0.0,0.0,2025-01-06,10.0,0.0,0.0,0.0,11.392800000000001,January,1,0.0,0.0,0.0,132.55085714285715,0.0,0.0
2025,1,7,5.8447,46.7576,35,0.0,0.0,0.0,0.0,2025-01-07,10.0,0.0,0.0,0.0,11.757599999999996,January,1,0.0,0.0,0.0,133.59314285714285,0.0,0.0
2025,1,8,5.933,47.464,35,0.0,0.0,0.0,0.0,2025-01-08,10.0,0.0,0.0,0.0,12.463999999999999,January,1,0.0,0.0,0.0,135.61142857142855,0.0,0.0
2025,1,9,6.0007,48.0056,35,0.0,0.0,0.0,0.0,2025-01-09,10.0,0.0,0.0,0.0,13.005600000000001,January,1,0.0,0.0,0.0,137.15885714285713,0.0,0.0
2025,1,10,5.989,47.912,35,0.0,0.0,0.0,0.0,2025-01-10,10.0,0.0,0.0,0.0,12.911999999999999,January,1,0.0,0.0,0.0,136.89142857142858,0.0,0.0
2025,1,11,5.941,47.528,35,0.0,0.0,0.0,0.0,2025-01-11,10.0,0.0,0.0,0.0,12.527999999999999,January,1,0.0,0.0,0.0,135.7942857142857,0.0,0.0
2025,1,12,5.8747,46.9976,35,0.0,0.0,0.0,0.0,2025-01-12,10.0,0.0,0.0,0.0,11.997599999999998,January,1,0.0,0.0,0.0,134.27885714285713,0.0,0.0
2025,1,13,5.6671,45.3368,35,0.0,0.0,0.0,0.0,2025-01-13,10.0,0.0,0.0,0.0,10.336799999999997,January,1,0.0,0.0,0.0,129.53371428571427,0.0,0.0
2025,1,14,5.6371,45.0968,35,0.0,0.0,0.0,0.0,2025-01-14,10.0,0.0,0.0,0.0,10.096800000000002,January,1,0.0,0.0,0.0,128.848,0.0,0.0
2025,1,15,5.5858,44.6864,35,0.0,0.0,0.0,0.0,2025-01-15,10.0,0.0,0.0,0.0,9.686399999999999,January,1,0.0,0.0,0.0,127.67542857142857,0.0,0.0
2025,1,16,5.6434,45.1472,35,0.0,0.0,0.0,0.0,2025-01-16,10.0,0.0,0.0,0.0,10.147199999999998,January,1,0.0,0.0,0.0,128.992,0.0,0.0
2025,1,17,5.8927,47.1416,35,0.0,0.0,0.0,0.0,2025-01-17,10.0,0.0,0.0,0.0,12.141599999999997,January,1,0.0,0.0,0.0,134.6902857142857,0.0,0.0
2025,1,18,5.3208,42.5664,35,0.0,0.0,0.0,0.0,2025-01-18,10.0,0.0,0.0,0.0,7.566400000000002,January,1,0.0,0.0,0.0,121.61828571428572,0.0,0.0
2025,1,19,5.004,40.032,35,0.0,0.0,0.0,0.0,2025-01-19,10.0,0.0,0.0,0.0,5.0319999999999965,January,1,0.0,0.0,0.0,114.37714285714284,0.0,0.0
2025,1,20,4.909,39.272,35,0.0,0.0,0.0,0.0,2025-01-20,10.0,0.0,0.0,0.0,4.2719999999999985,January,1,0.0,0.0,0.0,112.2057142857143,0.0,0.0
2025,1,21,5.3669,42.9352,35,0.0,0.0,0.0,0.0,2025-01-21,10.0,0.0,0.0,0.0,7.935200000000002,January,1,0.0,0.0,0.0,122.672,0.0,0.0
2025,1,22,6.0816,48.6528,35,0.0,0.0,0.0,0.0,2025-01-22,10.0,0.0,0.0,0.0,13.6528,January,1,0.0,0.0,0.0,139.008,0.0,0.0
2025,1,23,6.1099,48.8792,35,0.0,0.0,0.0,0.0,2025-01-23,10.0,0.0,0.0,0.0,13.879199999999997,January,1,0.0,0.0,0.0,139.6548571428571,0.0,0.0
2025,1,24,5.6083,44.8664,35,0.0,0.0,0.0,0.0,2025-01-24,10.0,0.0,0.0,0.0,9.866399999999999,January,1,0.0,0.0,0.0,128.18971428571427,0.0,0.0
2025,1,25,6.1577,49.2616,35,0.0,0.0,0.0,0.0,2025-01-25,10.0,0.0,0.0,0.0,14.261600000000001,January,1,0.0,0.0,0.0,140.74742857142857,0.0,0.0
2025,1,26,6.1699,49.3592,35,0.0,0.0,0.0,0.0,2025-01-26,10.0,0.0,0.0,0.0,14.359200000000001,January,1,0.0,0.0,0.0,141.02628571428573,0.0,0.0
2025,1,27,6.1361,49.0888,35,0.0,0.0,0.0,0.0,2025-01-27,10.0,0.0,0.0,0.0,14.088799999999999,January,1,0.0,0.0,0.0,140.2537142857143,0.0,0.0
2025,1,28,6.3108,50.4864,35,0.0,0.0,0.0,0.0,2025-01-28,10.0,0.0,0.0,0.0,15.486400000000003,January,1,0.0,0.0,0.0,144.24685714285715,0.0,0.0
2025,1,29,6.2544,50.0352,35,0.0,0.0,0.0,0.0,2025-01-29,10.0,0.0,0.0,0.0,15.035200000000003,January,1,0.0,0.0,0.0,142.95771428571427,0.0,0.0
2025,1,30,6.0502,48.4016,35,0.0,0.0,0.0,0.0,2025-01-30,10.0,0.0,0.0,0.0,13.401600000000002,January,1,0.0,0.0,0.0,138.29028571428572,0.0,0.0
2025,1,31,6.1562,49.2496,35,0.0,0.0,0.0,0.0,2025-01-31,10.0,0.0,0.0,0.0,14.249600000000001,January,1,0.0,0.0,0.0,140.71314285714288,0.0,0.0
2025,2,1,5.297,42.376,35,0.0,0.0,0.0,0.0,2025-02-01,10.0,0.0,0.0,0.0,7.375999999999998,February,2,0.0,0.0,0.0,121.07428571428571,0.0,0.0
2025,2,2,6.1963,49.5704,35,0.0,0.0,0.0,0.0,2025-02-02,10.0,0.0,0.0,0.0,14.5704,February,2,0.0,0.0,0.0,141.6297142857143,0.0,0.0
2025,2,3,5.8675,46.94,35,0.0,0.0,0.0,0.0,2025-02-03,10.0,0.0,0.0,0.0,11.939999999999998,February,2,0.0,0.0,0.0,134.1142857142857,0.0,0.0
2025,2,4,6.2592,50.0736,35,0.0,0.0,0.0,0.0,2025-02-04,10.0,0.0,0.0,0.0,15.073599999999999,February,2,0.0,0.0,0.0,143.0674285714286,0.0,0.0
2025,2,5,5.7391,45.9128,35,0.0,0.0,0.0,0.0,2025-02-05,10.0,0.0,0.0,0.0,10.912799999999997,February,2,0.0,0.0,0.0,131.17942857142856,0.0,0.0
2025,2,6,5.7442,45.9536,35,0.0,0.0,0.0,0.0,2025-02-06,10.0,0.0,0.0,0.0,10.953600000000002,February,2,0.0,0.0,0.0,131.29600000000002,0.0,0.0
2025,2,7,5.149,41.192,35,0.0,0.0,0.0,0.0,2025-02-07,10.0,0.0,0.0,0.0,6.192,February,2,0.0,0.0,0.0,117.69142857142857,0.0,0.0
2025,2,8,5.4739,43.7912,35,0.0,0.0,0.0,0.0,2025-02-08,10.0,0.0,0.0,0.0,8.791200000000003,February,2,0.0,0.0,0.0,125.1177142857143,0.0,0.0
2025,2,9,5.7749,46.1992,35,0.0,0.0,0.0,0.0,2025-02-09,10.0,0.0,0.0,0.0,11.199199999999998,February,2,0.0,0.0,0.0,131.99771428571427,0.0,0.0
2025,2,10,5.5968,44.7744,35,0.0,0.0,0.0,0.0,2025-02-10,10.0,0.0,0.0,0.0,9.7744,February,2,0.0,0.0,0.0,127.92685714285714,0.0,0.0
2025,2,11,6.4589,51.6712,35,0.0,0.0,0.0,0.0,2025-02-11,10.0,0.0,0.0,0.0,16.6712,February,2,0.0,0.0,0.0,147.632,0.0,0.0
2025,2,12,6.216,49.728,35,0.0,0.0,0.0,0.0,2025-02-12,10.0,0.0,0.0,0.0,14.728000000000002,February,2,0.0,0.0,0.0,142.08,0.0,0.0
2025,2,13,6.2832,50.2656,35,0.0,0.0,0.0,0.0,2025-02-13,10.0,0.0,0.0,0.0,15.2656,February,2,0.0,0.0,0.0,143.61599999999999,0.0,0.0
2025,2,14,6.3684,50.9472,35,0.0,0.0,0.0,0.0,2025-02-14,10.0,0.0,0.0,0.0,15.947200000000002,February,2,0.0,0.0,0.0,145.56342857142857,0.0,0.0
2025,2,15,6.223,49.784,35,0.0,0.0,0.0,0.0,2025-02-15,10.0,0.0,0.0,0.0,14.783999999999999,February,2,0.0,0.0,0.0,142.23999999999998,0.0,0.0
2025,2,16,6.5249,52.1992,35,0.0,0.0,0.0,0.0,2025-02-16,10.0,0.0,0.0,0.0,17.199199999999998,February,2,0.0,0.0,0.0,149.14057142857143,0.0,0.0
2025,2,17,6.4454,51.5632,35,0.0,0.0,0.0,0.0,2025-02-17,10.0,0.0,0.0,0.0,16.563200000000002,February,2,0.0,0.0,0.0,147.32342857142856,0.0,0.0
2025,2,18,5.665,45.32,35,0.0,0.0,0.0,0.0,2025-02-18,10.0,0.0,0.0,0.0,10.32,February,2,0.0,0.0,0.0,129.4857142857143,0.0,0.0
2025,2,19,5.5702,44.5616,35,0.0,0.0,0.0,0.0,2025-02-19,10.0,0.0,0.0,0.0,9.561599999999999,February,2,0.0,0.0,0.0,127.31885714285713,0.0,0.0
2025,2,20,6.2798,50.2384,35,0.0,0.0,0.0,0.0,2025-02-20,10.0,0.0,0.0,0.0,15.238399999999999,February,2,0.0,0.0,0.0,143.5382857142857,0.0,0.0
2025,2,21,6.1291,49.0328,35,0.0,0.0,0.0,0.0,2025-02-21,10.0,0.0,0.0,0.0,14.032800000000002,February,2,0.0,0.0,0.0,140.0937142857143,0.0,0.0
2025,2,22,5.0386,40.3088,35,0.0,0.0,0.0,0.0,2025-02-22,10.0,0.0,0.0,0.0,5.308799999999998,February,2,0.0,0.0,0.0,115.168,0.0,0.0
2025,2,23,5.4614,43.6912,35,0.0,0.0,0.0,0.0,2025-02-23,10.0,0.0,0.0,0.0,8.691200000000002,February,2,0.0,0.0,0.0,124.83200000000001,0.0,0.0
2025,2,24,5.4041,43.2328,35,0.0,0.0,0.0,0.0,2025-02-24,10.0,0.0,0.0,0.0,8.232799999999997,February,2,0.0,0.0,0.0,123.52228571428572,0.0,0.0
2025,2,25,5.4526,43.6208,35,0.0,0.0,0.0,0.0,2025-02-25,10.0,0.0,0.0,0.0,8.620800000000003,February,2,0.0,0.0,0.0,124.63085714285715,0.0,0.0
2025,2,26,4.481,35.848,35,0.0,0.0,0.0,0.0,2025-02-26,10.0,0.0,0.0,0.0,0.847999999999999,February,2,0.0,0.0,0.0,102.42285714285715,0.0,0.0
2025,2,27,4.7513,38.0104,35,0.0,0.0,0.0,0.0,2025-02-27,10.0,0.0,0.0,0.0,3.010399999999997,February,2,0.0,0.0,0.0,108.60114285714285,0.0,0.0
2025,2,28,6.0766,48.6128,35,0.0,0.0,0.0,0.0,2025-02-28,10.0,0.0,0.0,0.0,13.6128,February,2,0.0,0.0,0.0,138.89371428571428,0.0,0.0
2025,3,1,6.1013,48.8104,35,0.0,0.0,0.0,0.0,2025-03-01,10.0,0.0,0.0,0.0,13.810400000000001,March,3,0.0,0.0,0.0,139.45828571428572,0.0,0.0
2025,3,2,6.5326,52.2608,35,0.0,0.0,0.0,0.0,2025-03-02,10.0,0.0,0.0,0.0,17.260800000000003,March,3,0.0,0.0,0.0,149.31657142857145,0.0,0.0
2025,3,3,6.7322,53.8576,35,0.0,0.0,0.0,0.0,2025-03-03,10.0,0.0,0.0,0.0,18.857599999999998,March,3,0.0,0.0,0.0,153.87885714285713,0.0,0.0
2025,3,4,6.6089,52.8712,35,0.0,0.0,0.0,0.0,2025-03-04,10.0,0.0,0.0,0.0,17.8712,March,3,0.0,0.0,0.0,151.06057142857142,0.0,0.0
2025,3,5,6.1709,49.3672,35,0.0,0.0,0.0,0.0,2025-03-05,10.0,0.0,0.0,0.0,14.367199999999997,March,3,0.0,0.0,0.0,141.04914285714284,0.0,0.0
2025,3,6,6.3336,50.6688,35,0.0,0.0,0.0,0.0,2025-03-06,10.0,0.0,0.0,0.0,15.668799999999997,March,3,0.0,0.0,0.0,144.76799999999997,0.0,0.0
2025,3,7,6.3984,51.1872,35,0.0,0.0,0.0,0.0,2025-03-07,10.0,0.0,0.0,0.0,16.187199999999997,March,3,0.0,0.0,0.0,146.24914285714286,0.0,0.0
2025,3,8,6.5035,52.028,35,0.0,0.0,0.0,0.0,2025-03-08,10.0,0.0,0.0,0.0,17.028,March,3,0.0,0.0,0.0,148.65142857142857,0.0,0.0
2025,3,9,6.1058,48.8464,35,0.0,0.0,0.0,0.0,2025-03-09,10.0,0.0,0.0,0.0,13.846400000000003,March,3,0.0,0.0,0.0,139.56114285714287,0.0,0.0
2025,3,10,5.5066,44.0528,35,0.0,0.0,0.0,0.0,2025-03-10,10.0,0.0,0.0,0.0,9.052799999999998,March,3,0.0,0.0,0.0,125.86514285714286,0.0,0.0
2025,3,11,6.0336,48.2688,35,0.0,0.0,0.0,0.0,2025-03-11,10.0,0.0,0.0,0.0,13.268799999999999,March,3,0.0,0.0,0.0,137.91085714285714,0.0,0.0
2025,3,12,5.9736,47.7888,35,0.0,0.0,0.0,0.0,2025-03-12,10.0,0.0,0.0,0.0,12.788800000000002,March,3,0.0,0.0,0.0,136.53942857142857,0.0,0.0
2025,3,13,5.833,46.664,35,0.0,0.0,0.0,0.0,2025-03-13,10.0,0.0,0.0,0.0,11.664000000000001,March,3,0.0,0.0,0.0,133.3257142857143,0.0,0.0
2025,3,14,5.5836,44.6688,35,0.0,0.0,0.0,0.0,2025-03-14,10.0,0.0,0.0,0.0,9.668799999999997,March,3,0.0,0.0,0.0,127.62514285714286,0.0,0.0
2025,3,15,5.8999,47.1992,35,0.0,0.0,0.0,0.0,2025-03-15,10.0,0.0,0.0,0.0,12.199199999999998,March,3,0.0,0.0,0.0,134.85485714285716,0.0,0.0
2025,3,16,6.1202,48.9616,35,0.0,0.0,0.0,0.0,2025-03-16,10.0,0.0,0.0,0.0,13.961599999999997,March,3,0.0,0.0,0.0,139.8902857142857,0.0,0.0
2025,3,17,6.6283,53.0264,35,0.0,0.0,0.0,0.0,2025-03-17,10.0,0.0,0.0,0.0,18.026400000000002,March,3,0.0,0.0,0.0,151.50400000000002,0.0,0.0
2025,3,18,6.582,52.656,35,0.0,0.0,0.0,0.0,2025-03-18,10.0,0.0,0.0,0.0,17.656,March,3,0.0,0.0,0.0,150.44571428571427,0.0,0.0
2025,3,19,5.8709,46.9672,35,0.0,0.0,0.0,0.0,2025-03-19,10.0,0.0,0.0,0.0,11.967199999999998,March,3,0.0,0.0,0.0,134.192,0.0,0.0
2025,3,20,6.4296,51.4368,35,0.0,0.0,0.0,0.0,2025-03-20,10.0,0.0,0.0,0.0,16.436799999999998,March,3,0.0,0.0,0.0,146.9622857142857,0.0,0.0
